Iterations,Fwd,Back
0,1631.6914558410645,3861.4492416381836
1,616.35422706604,2731.3694953918457
2,615.429162979126,2726.8683910369873
3,615.3378486633301,2726.8686294555664
4,615.4248714447021,2731.9881916046143
5,615.0033473968506,2727.088212966919
6,614.5451068878174,2730.0167083740234
7,614.4185066223145,2727.320909500122
8,615.0352954864502,2727.1862030029297
9,687.3006820678711,2802.9561042785645
10,695.0666904449463,2808.4964752197266
11,614.0029430389404,2727.177143096924
12,650.038480758667,2763.986110687256
13,614.5725250244141,2729.3505668640137
14,615.1649951934814,2728.8830280303955
15,615.0789260864258,2730.879545211792
16,614.5374774932861,2725.442886352539
17,615.0827407836914,2729.6760082244873
18,615.0093078613281,2729.696035385132
19,614.5906448364258,2731.6296100616455
20,615.4725551605225,2730.95440864563
21,680.8290481567383,2801.497220993042
