Iterations,Fwd,Back
0,559.1213703155518,2512.5443935394287
1,187.1340274810791,1856.5056324005127
2,176.32198333740234,1549.9112606048584
3,176.33938789367676,1554.4519424438477
4,176.1612892150879,1559.8020553588867
5,176.16891860961914,1552.6866912841797
6,175.94528198242188,1563.5781288146973
7,176.04565620422363,1568.9098834991455
8,176.09429359436035,1569.284439086914
9,176.008939743042,1571.272611618042
10,176.0561466217041,1566.328525543213
11,176.00035667419434,1546.59104347229
12,176.11241340637207,1563.6916160583496
13,176.0261058807373,1562.9591941833496
14,176.0540008544922,1549.858570098877
15,176.0091781616211,1553.1320571899414
16,175.92978477478027,1564.8834705352783
17,176.03325843811035,1563.6842250823975
18,176.0087013244629,1555.654525756836
19,175.95148086547852,1574.4900703430176
20,175.9653091430664,1557.9042434692383
21,175.9958267211914,1560.0981712341309
