Iterations,Fwd,Back
0,4807.151317596436,8174.193859100342
1,1386.6724967956543,4510.190010070801
2,1385.4787349700928,4525.168895721436
3,1385.202407836914,4496.067047119141
4,1386.8849277496338,4481.072187423706
5,1384.8419189453125,4463.9575481414795
6,1385.6196403503418,4481.73713684082
7,1389.0056610107422,4484.118938446045
8,1387.8507614135742,4494.178056716919
9,1386.4214420318604,4487.707853317261
10,1386.3160610198975,4500.950813293457
11,1386.2619400024414,4508.410215377808
12,1387.4409198760986,4493.876218795776
13,1385.3988647460938,4473.409652709961
14,1385.0245475769043,4490.293741226196
15,1386.4710330963135,4487.431287765503
16,1385.8857154846191,4487.780809402466
17,1385.5960369110107,4455.315351486206
18,1397.4113464355469,4482.555389404297
19,1386.5940570831299,4498.216152191162
20,1386.1324787139893,4493.742942810059
21,1385.1854801177979,4469.121694564819
