Iterations,Fwd,Back
0,3303.516149520874,9151.456117630005
1,1500.2796649932861,6552.863121032715
2,1480.5381298065186,6536.080360412598
3,1482.58638381958,6536.3969802856445
4,1478.0635833740234,6528.221368789673
5,1479.048252105713,6534.524917602539
6,1476.1295318603516,6529.77728843689
7,1479.0441989898682,6533.075332641602
8,1483.0176830291748,6541.659593582153
9,1514.42289352417,6573.535203933716
10,1480.1101684570312,6546.034812927246
11,1477.278709411621,6539.440393447876
12,1480.5092811584473,6547.107219696045
13,1482.2371006011963,6550.531387329102
14,1482.7499389648438,6553.368330001831
15,1483.976125717163,6554.5494556427
16,1484.3385219573975,6554.452657699585
17,1483.7355613708496,6564.945936203003
18,1484.8260879516602,6553.851127624512
19,1483.7665557861328,6556.948184967041
20,1485.0902557373047,6562.763929367065
21,1491.0144805908203,6576.402902603149
