,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,15058.224000,7529.112000,7529.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3550365.758000,3547962.816000,2402.942000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,254420.400000,127210.200000,127210.200000,0.000000,0.000000,0.000000,0.000000,13591.524000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,3785.568000,1892.784000,1892.784000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,15058.224000,7529.112000,7529.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,152333.760000,76166.880000,76166.880000,0.000000,600.544000,0.000000,0.000000,17550.607000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,1892.784000,1892.784000,1892.784000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,15058.224000,7529.112000,7529.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,254420.400000,127210.200000,127210.200000,0.000000,0.000000,0.000000,0.000000,13591.525000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,3785.568000,1892.784000,1892.784000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,15058.224000,7529.112000,7529.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,152333.760000,76166.880000,76166.880000,0.000000,600.543000,0.000000,0.000000,17550.605000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,1892.784000,1892.784000,1892.784000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,15058.224000,7529.112000,7529.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,254420.400000,127210.200000,127210.200000,0.000000,0.000000,0.000000,0.000000,13591.523000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,3785.568000,1892.784000,1892.784000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,15058.224000,7529.112000,7529.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,152333.760000,76166.880000,76166.880000,0.000000,600.544000,0.000000,0.000000,17550.606000,0.000000,3550365.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
