,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,20932.912000,10466.456000,10466.456000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,5449984.160000,0.768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,357068.368000,178534.184000,178534.184000,0.000000,0.000000,0.000000,0.000000,11160.768000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,5249.392000,2624.696000,2624.696000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,20932.912000,10466.456000,10466.456000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,273127.392000,136563.696000,136563.696000,0.000000,0.000000,0.000000,0.000000,14903.792000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,2624.696000,2624.696000,2624.696000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,20932.912000,10466.456000,10466.456000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,357068.368000,178534.184000,178534.184000,0.000000,0.000000,0.000000,0.000000,11160.768000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,5249.392000,2624.696000,2624.696000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,20932.912000,10466.456000,10466.456000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,273127.392000,136563.696000,136563.696000,0.000000,0.000000,0.000000,0.000000,14903.792000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,2624.696000,2624.696000,2624.696000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,20932.912000,10466.456000,10466.456000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,357068.368000,178534.184000,178534.184000,0.000000,0.000000,0.000000,0.000000,11160.768000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,5249.392000,2624.696000,2624.696000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,20932.912000,10466.456000,10466.456000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,273127.392000,136563.696000,136563.696000,0.000000,0.000000,0.000000,0.000000,14903.792000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,2624.696000,2624.696000,2624.696000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,20932.912000,10466.456000,10466.456000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,357068.368000,178534.184000,178534.184000,0.000000,0.000000,0.000000,0.000000,11160.768000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,5249.392000,2624.696000,2624.696000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,20932.912000,10466.456000,10466.456000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,273127.392000,136563.696000,136563.696000,0.000000,0.000000,0.000000,0.000000,14903.792000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,2624.696000,2624.696000,2624.696000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5449984.928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
