,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_2,5709.296000,2854.648000,2854.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,1013984.288000,265.506000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_2,68694.624000,34347.312000,34347.312000,0.000000,0.000000,0.000000,0.000000,5855.288000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_2,1895.600000,947.800000,947.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_2,5709.296000,2854.648000,2854.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_2,43317.520000,21658.760000,21658.760000,0.000000,66.184000,0.000000,0.000000,7851.522000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_2,947.800000,947.800000,947.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_2,5709.296000,2854.648000,2854.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_2,68694.624000,34347.312000,34347.312000,0.000000,0.000000,0.000000,0.000000,5855.289000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_2,1895.600000,947.800000,947.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_2,5709.296000,2854.648000,2854.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_2,43317.520000,21658.760000,21658.760000,0.000000,66.185000,0.000000,0.000000,7851.523000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_2,947.800000,947.800000,947.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_2,5709.296000,2854.648000,2854.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_2,68694.624000,34347.312000,34347.312000,0.000000,0.000000,0.000000,0.000000,5855.290000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_2,1895.600000,947.800000,947.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_2,5709.296000,2854.648000,2854.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_2,43317.520000,21658.760000,21658.760000,0.000000,66.184000,0.000000,0.000000,7851.522000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_2,947.800000,947.800000,947.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_2,5709.296000,2854.648000,2854.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_2,68694.624000,34347.312000,34347.312000,0.000000,0.000000,0.000000,0.000000,5855.288000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_2,1895.600000,947.800000,947.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_2,5709.296000,2854.648000,2854.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_2,43317.520000,21658.760000,21658.760000,0.000000,66.185000,0.000000,0.000000,7851.523000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_2,947.800000,947.800000,947.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1014249.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
