,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,28798.944000,14399.472000,14399.472000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,3901646.592000,0.768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,253436.736000,126718.368000,126718.368000,0.000000,0.000000,0.000000,0.000000,5855.280000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,5384.704000,2692.352000,2692.352000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,28798.944000,14399.472000,14399.472000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,167247.968000,83623.984000,83623.984000,0.000000,0.000000,0.000000,0.000000,7851.520000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,2692.352000,2692.352000,2692.352000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,28798.944000,14399.472000,14399.472000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,253436.736000,126718.368000,126718.368000,0.000000,0.000000,0.000000,0.000000,5855.280000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,5384.704000,2692.352000,2692.352000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,28798.944000,14399.472000,14399.472000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,167247.968000,83623.984000,83623.984000,0.000000,0.000000,0.000000,0.000000,7851.520000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,2692.352000,2692.352000,2692.352000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,28798.944000,14399.472000,14399.472000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,253436.736000,126718.368000,126718.368000,0.000000,0.000000,0.000000,0.000000,5855.280000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,5384.704000,2692.352000,2692.352000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,28798.944000,14399.472000,14399.472000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,167247.968000,83623.984000,83623.984000,0.000000,0.000000,0.000000,0.000000,7851.520000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,2692.352000,2692.352000,2692.352000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_8,28798.944000,14399.472000,14399.472000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_8,253436.736000,126718.368000,126718.368000,0.000000,0.000000,0.000000,0.000000,5855.280000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_8,5384.704000,2692.352000,2692.352000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_8,28798.944000,14399.472000,14399.472000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_8,167247.968000,83623.984000,83623.984000,0.000000,0.000000,0.000000,0.000000,7851.520000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_8,2692.352000,2692.352000,2692.352000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3901647.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
