,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,8509.440000,4254.720000,4254.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,1813491.584000,450.530000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,125185.008000,62592.504000,62592.504000,0.000000,0.000000,0.000000,0.000000,5855.288000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,1849.344000,924.672000,924.672000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,8509.440000,4254.720000,4254.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,81246.208000,40623.104000,40623.104000,0.000000,112.440000,0.000000,0.000000,7851.522000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,924.672000,924.672000,924.672000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,8509.440000,4254.720000,4254.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,125185.008000,62592.504000,62592.504000,0.000000,0.000000,0.000000,0.000000,5855.289000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,1849.344000,924.672000,924.672000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,8509.440000,4254.720000,4254.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,81246.208000,40623.104000,40623.104000,0.000000,112.441000,0.000000,0.000000,7851.523000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,924.672000,924.672000,924.672000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,8509.440000,4254.720000,4254.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,125185.008000,62592.504000,62592.504000,0.000000,0.000000,0.000000,0.000000,5855.290000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,1849.344000,924.672000,924.672000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,8509.440000,4254.720000,4254.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,81246.208000,40623.104000,40623.104000,0.000000,112.440000,0.000000,0.000000,7851.522000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,924.672000,924.672000,924.672000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_4,8509.440000,4254.720000,4254.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_4,125185.008000,62592.504000,62592.504000,0.000000,0.000000,0.000000,0.000000,5855.288000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_4,1849.344000,924.672000,924.672000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_4,8509.440000,4254.720000,4254.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_4,81246.208000,40623.104000,40623.104000,0.000000,112.441000,0.000000,0.000000,7851.523000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_4,924.672000,924.672000,924.672000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1813942.114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
