,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_1,1574.784000,787.392000,787.392000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,415531.709000,334105.536000,81426.173000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_1,22780.960000,11390.480000,11390.480000,0.000000,11775.367000,0.000000,0.000000,16678.172000,0.000000,415531.709000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_1,378.464000,189.232000,189.232000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,415531.709000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_1,1574.784000,787.392000,787.392000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,415531.709000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,llama-7b_ubatch_1,15170.352000,7585.176000,7585.176000,0.000000,9776.611000,0.000000,0.000000,15648.039000,0.000000,415531.709000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual2,llama-7b_ubatch_1,189.232000,189.232000,189.232000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,415531.709000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm1,llama-7b_ubatch_1,1574.784000,787.392000,787.392000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,415531.709000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,llama-7b_ubatch_1,22780.960000,11390.480000,11390.480000,0.000000,10579.486000,0.000000,0.000000,15482.292000,0.000000,415531.709000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual1,llama-7b_ubatch_1,378.464000,189.232000,189.232000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,415531.709000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSNorm2,llama-7b_ubatch_1,1574.784000,787.392000,787.392000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,415531.709000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
