type,gpus,ubatch,coef,total_time_ms,total_time_ms_ci
model,1,1,0.3,0.2814964192,0.0018806556604922921
model,1,1,0.4,0.3746999376,0.0031338650990008696
model,1,1,0.5,0.4608343168,0.0036700230072391495
model,1,1,0.7,0.6190065328000001,0.00515097755980049
model,1,1,0.8,0.735765048,0.007038163574686175
model,1,1,1,0.9212988704,0.010302299844987473
model,1,1,1.1,1.03317064,0.007887924323567693
model,1,1,1.3,1.1965588864,0.013792124896804094
model,1,1,1.4,1.2996078064,0.010939161240019535
model,1,1,1.5,1.3698139216,0.011482883828966147
model,1,2,0.3,0.34375403520000003,0.001744184092357781
model,1,2,0.4,0.4640350432,0.0040161416424210625
model,1,2,0.5,0.5641906703999999,0.004764271975605271
model,1,2,0.7,0.8105870464,0.008009966823001868
model,1,2,0.8,0.9293862032,0.008061950702174308
model,1,2,1,1.1833636208,0.010777202744076685
model,1,2,1.1,1.2265137552,0.010349068863220642
model,1,2,1.3,1.4674549984,0.015695145346989004
model,1,2,1.4,1.5822105296,0.013368978100806615
model,1,2,1.5,1.6704000464,0.014945562360323746
model,1,4,0.3,0.5042945808,0.005875899886091636
model,1,4,0.4,0.7263497248,0.007535524827284902
model,1,4,0.5,0.85400476,0.010068440587180042
model,1,4,0.7,1.2533544544,0.008738802288344847
model,1,4,0.8,1.358796736,0.012444718833485852
model,1,4,1,1.6864675184,0.016991026245397722
model,1,4,1.1,1.8389233759999999,0.015117325290385038
model,1,4,1.3,2.2965012576,0.020840530221312378
model,1,4,1.4,2.4152786512,0.026215115552592285
model,1,4,1.5,2.5075221888,0.02179352520650428
model,1,8,0.3,1.1044564096,0.012224484436047244
model,1,8,0.4,1.4058551904,0.016022422941321612
model,1,8,0.5,1.8319585808,0.019185777533449896
model,1,8,0.7,2.6240617504,0.030488901534045227
model,1,8,0.8,2.9525303743999998,0.027505704515680927
model,1,8,1,3.6904336256,0.03367595625486337
model,1,8,1.1,3.8941755232,0.04403387948176213
model,1,8,1.3,4.918582944,0.051591948847732765
model,1,8,1.4,4.9603700704,0.05205790185128432
model,1,8,1.5,5.529891976,0.06067881032380392
model,16,1,0.3,0.3529768676,0.0029000717126627085
model,16,1,0.4,0.4298678945,0.002598499631087337
model,16,1,0.5,0.519593548,0.004321479941253934
model,16,1,0.7,0.677106062,0.005364329925536979
model,16,1,0.8,0.79153221519999994,0.006300483958365859
model,16,1,1,0.97931994575,0.00910049719806333
model,16,1,1.1,1.04982093385,0.010170406459844367
model,16,1,1.3,1.2120364337,0.00662268674927375
model,16,1,1.4,1.30169153025,0.01148839794299749
model,16,1,1.5,1.4205921617,0.011736432189194226
model,16,2,0.3,0.4059906292,0.002172214479139894
model,16,2,0.4,0.517526323,0.004095556204800543
model,16,2,0.5,0.6186232405000001,0.005472369398717845
model,16,2,0.7,0.80539523695,0.005044325955185515
model,16,2,0.8,0.9386135627,0.009577806501166682
model,16,2,1,1.13953717875,0.010355691043877504
model,16,2,1.1,1.3017276915,0.009701042807952384
model,16,2,1.3,1.426831523,0.013498598598655131
model,16,2,1.4,1.60919728,0.017028254402109515
model,16,2,1.5,1.6687341647,0.014833119085790578
model,16,4,0.3,0.5604482023,0.004681864695043131
model,16,4,0.4,0.7267647988,0.006310935836776556
model,16,4,0.5,0.84414974255,0.00697844823962435
model,16,4,0.7,1.17643350165,0.00998538436165971
model,16,4,0.8,1.36001900055,0.008539240322360642
model,16,4,1,1.6559350446,0.013784942358281923
model,16,4,1.1,1.8837700845,0.01955488852969733
model,16,4,1.3,2.2176186083,0.01930336036127277
model,16,4,1.4,2.2981356676,0.020638700540574203
model,16,4,1.5,2.5286607719000003,0.020438035674594433
model,16,8,0.3,1.14675276925,0.016271491654405362
model,16,8,0.4,1.44600194125,0.017115740969837014
model,16,8,0.5,1.851326558,0.020700225974063673
model,16,8,0.7,2.6737950821,0.03295767637656679
model,16,8,0.8,3.0038251504,0.03638832956850567
model,16,8,1,3.7455330188000002,0.043615994507603326
model,16,8,1.1,4.0050989056,0.047215236593018003
model,16,8,1.3,4.7901089552,0.05061990609020964
model,16,8,1.4,5.0313019104,0.053060865051847546
model,16,8,1.5,5.2629295696,0.04649996495077271
model,2,1,0.3,0.3054296193,0.002054401167933759
model,2,1,0.4,0.39264142550000003,0.003411800778706584
model,2,1,0.5,0.48033228240000003,0.003722866268687117
model,2,1,0.7,0.6569268622,0.008416585234345545
model,2,1,0.8,0.7432781427,0.005944151218940571
model,2,1,1,0.957571919,0.005953442047666345
model,2,1,1.1,1.0161324947000001,0.008716299533679452
model,2,1,1.3,1.1938189416,0.010195670021576175
model,2,1,1.4,1.3497072693,0.013604178413011815
model,2,1,1.5,1.3724774706,0.013031818934137919
model,2,2,0.3,0.3592488441,0.0033076132338990785
model,2,2,0.4,0.4513269534,0.0033292285999861125
model,2,2,0.5,0.5526316554,0.0060064124813173055
model,2,2,0.7,0.8088334837,0.006902141011028036
model,2,2,0.8,0.8927447334,0.007737172020060548
model,2,2,1,1.1013165021,0.008121875185362242
model,2,2,1.1,1.203602708,0.009049789851112544
model,2,2,1.3,1.489794824,0.015930399107100115
model,2,2,1.4,1.6228483120000001,0.013320714964945557
model,2,2,1.5,1.69138216,0.017747456621336886
model,2,4,0.3,0.5194089134,0.004742136728367789
model,2,4,0.4,0.6896920986,0.006670732686297219
model,2,4,0.5,0.8435765807,0.008591852925926487
model,2,4,0.7,1.1753869523,0.009788253411740978
model,2,4,0.8,1.3056249233,0.009658680877724871
model,2,4,1,1.7623601984,0.01723279083309561
model,2,4,1.1,1.9058085296,0.013849170106134411
model,2,4,1.3,2.1351482832,0.016624051912980803
model,2,4,1.4,2.3447428528,0.021930359782634284
model,2,4,1.5,2.6027464688,0.022200825938115554
model,2,8,0.3,1.0984976180000001,0.010245613790956605
model,2,8,0.4,1.4814580448,0.015619114915208065
model,2,8,0.5,1.8354479186,0.023528740815041523
model,2,8,0.7,2.4627401552,0.023317247971689836
model,2,8,0.8,2.9640068128,0.03178985405335159
model,2,8,1,3.598912152,0.04007437206008817
model,2,8,1.1,3.9607272112,0.05253933557459926
model,2,8,1.3,4.6094600464,0.04617418387526101
model,2,8,1.4,5.0976603408,0.05465740422829814
model,2,8,1.5,5.6392286704,0.07535141451038996
model,32,1,0.3,0.34994605089999997,0.0024997763303506045
model,32,1,0.4,0.4263669122,0.0035739336781778373
model,32,1,0.5,0.5059525021,0.0031278144598154652
model,32,1,0.7,0.6936278939,0.004979587009196612
model,32,1,0.8,0.76110400275,0.0057682664686479375
model,32,1,1,0.9684039515,0.008752073247478747
model,32,1,1.1,1.031937104,0.009024126360228221
model,32,1,1.3,1.198386196,0.008988004085071917
model,32,1,1.4,1.35409854195,0.017207820348390024
model,32,1,1.5,1.4216335241,0.014046653267667129
model,32,2,0.3,0.4261614706,0.002297773873185796
model,32,2,0.4,0.5086154285,0.005247300879085785
model,32,2,0.5,0.6043848161500001,0.003969046716666226
model,32,2,0.7,0.8436354818,0.005530807046035258
model,32,2,0.8,0.9406284992,0.011303213802007927
model,32,2,1,1.1465347902,0.010003479130633769
model,32,2,1.1,1.2310117014,0.010056332114393772
model,32,2,1.3,1.518108677,0.014340294381250406
model,32,2,1.4,1.60640592205,0.008223822891361178
model,32,2,1.5,1.70651122215,0.012843151115008097
model,32,4,0.3,0.56301185725,0.004966203381797839
model,32,4,0.4,0.7256764369,0.005921372987075674
model,32,4,0.5,0.8665764709,0.005808152616398069
model,32,4,0.7,1.2256217243,0.009483313154869758
model,32,4,0.8,1.3361315794,0.010326955674531221
model,32,4,1,1.75937458865,0.013634796692268072
model,32,4,1.1,1.77549669585,0.0111755641748695
model,32,4,1.3,2.20505120225,0.017894169726413455
model,32,4,1.4,2.3760764171,0.026957260115741476
model,32,4,1.5,2.4829333905,0.027097166776387942
model,32,8,0.3,1.07113159355,0.009095372584943938
model,32,8,0.4,1.4652044744000001,0.01730643880146982
model,32,8,0.5,1.82602580605,0.018021200338726468
model,32,8,0.7,2.52980289375,0.035704959139990375
model,32,8,0.8,2.95074332815,0.031512752882117606
model,32,8,1,3.5539897575,0.03362823817873085
model,32,8,1.1,3.8208943056,0.03750753370230421
model,32,8,1.3,4.4960211264,0.04958416711843034
model,32,8,1.4,5.0875856672,0.05836846747018323
model,32,8,1.5,5.4040345232,0.048937059481082665
model,4,1,0.3,0.3282213552,0.002911730299788577
model,4,1,0.4,0.410901717,0.0021063173273546455
model,4,1,0.5,0.49371695615,0.003713676999484764
model,4,1,0.7,0.6801217277,0.006010661049609349
model,4,1,0.8,0.7695229149,0.007256267839341365
model,4,1,1,0.9365723385,0.007791121511024757
model,4,1,1.1,1.0433552286,0.009685606208769541
model,4,1,1.3,1.2074246309,0.008098172767984076
model,4,1,1.4,1.27608152575,0.010240908058738162
model,4,1,1.5,1.41328405045,0.005934623834747504
model,4,2,0.3,0.39406456725,0.0028487795916972624
model,4,2,0.4,0.47406937755,0.003700929544164513
model,4,2,0.5,0.5810401791,0.004935608807015117
model,4,2,0.7,0.7974327864,0.007814229163269907
model,4,2,0.8,0.9012710471000001,0.006775595477823127
model,4,2,1,1.14791711335,0.010573176505726487
model,4,2,1.1,1.22715818335,0.01065095366951077
model,4,2,1.3,1.4950881945,0.012278808452601653
model,4,2,1.4,1.61663996765,0.01381860749353779
model,4,2,1.5,1.68129575795,0.012574202721699613
model,4,4,0.3,0.5507943685,0.0037500190523557493
model,4,4,0.4,0.6809397455,0.0069038413407223
model,4,4,0.5,0.8669978907,0.006928392652519143
model,4,4,0.7,1.2221495109,0.011996939498168635
model,4,4,0.8,1.31473799265,0.008390286015251705
model,4,4,1,1.60498991275,0.015559635499525623
model,4,4,1.1,1.8339662479,0.01711232696237628
model,4,4,1.3,2.1961448608,0.022107362922670785
model,4,4,1.4,2.386193352,0.02323537531352917
model,4,4,1.5,2.5669645376,0.01791105635365399
model,4,8,0.3,1.0854534057,0.012290160092830285
model,4,8,0.4,1.4827394021,0.021916589535824618
model,4,8,0.5,1.79168329715,0.016221804305682118
model,4,8,0.7,2.4633520396,0.029320835858722867
model,4,8,0.8,2.9258484832,0.033408474682682876
model,4,8,1,3.4317290672,0.023065823995878584
model,4,8,1.1,4.057504456,0.05708285158472441
model,4,8,1.3,4.6101504447999995,0.05456270070574996
model,4,8,1.4,5.3696860848,0.03936164708155789
model,4,8,1.5,5.4890003264,0.052183482277660356
model,8,1,0.3,0.347167652,0.002275826339845908
model,8,1,0.4,0.4472380024,0.002932843838790153
model,8,1,0.5,0.5099626141,0.003931714830034565
model,8,1,0.7,0.6857610709999999,0.005179285564560316
model,8,1,0.8,0.7512696582,0.005927144603736934
model,8,1,1,0.9592259758,0.008633672728556674
model,8,1,1.1,1.0616422586,0.012238946987533236
model,8,1,1.3,1.2589741982,0.014509692818690268
model,8,1,1.4,1.289957133,0.011002710291575383
model,8,1,1.5,1.4113549144,0.015710154634703714
model,8,2,0.3,0.39188183600000004,0.003484897799202694
model,8,2,0.4,0.51082981205,0.003041631871321893
model,8,2,0.5,0.605756746,0.004172175265698589
model,8,2,0.7,0.8073366996,0.006361843166555949
model,8,2,0.8,0.9127294896,0.00815013664235709
model,8,2,1,1.1395667147,0.011962830242980314
model,8,2,1.1,1.2566606195,0.011610546431363002
model,8,2,1.3,1.5201509707,0.0153609028585425
model,8,2,1.4,1.6345869689,0.013405088470707944
model,8,2,1.5,1.72061622115,0.015062504215835673
model,8,4,0.3,0.5252196886,0.004261142520735382
model,8,4,0.4,0.7095749218,0.006586794472775645
model,8,4,0.5,0.8724167141,0.005274473764496087
model,8,4,0.7,1.1791494782,0.009668104266561946
model,8,4,0.8,1.3303038067,0.015307638749513384
model,8,4,1,1.69841644835,0.013271371230745913
model,8,4,1.1,1.81403646535,0.016338496578334243
model,8,4,1.3,2.1753987516,0.01833511374208553
model,8,4,1.4,2.3920601659,0.022289668294090383
model,8,4,1.5,2.51897852215,0.021202069232315553
model,8,8,0.3,1.0996831458,0.013931296169887239
model,8,8,0.4,1.5246795598,0.017032159164950725
model,8,8,0.5,1.8369293973,0.01361750106483314
model,8,8,0.7,2.7218037464,0.026751160704836296
model,8,8,0.8,2.94686361765,0.03369864053266068
model,8,8,1,3.6316347808000002,0.04058399926486534
model,8,8,1.1,4.122173368,0.0484790537335006
model,8,8,1.3,4.7703095968,0.04997882210469208
model,8,8,1.4,5.3314586912,0.06551494205512942
model,8,8,1.5,5.2966815296,0.0642837713701602
profiling,1,1,0.5,0.2385137328,1.144853017218511e-4
profiling,1,1,0.7,0.3335378352,2.1472979645770018e-4
profiling,1,1,0.8,0.3824354672,4.1589420397340597e-4
profiling,1,1,1,0.4745841232,2.3492588475217628e-4
profiling,1,1,1.1,0.5234736608,2.2944549730234557e-4
profiling,1,1,1.3,0.619172976,4.688251359383412e-4
profiling,1,1,1.4,0.66694624,4.0255561050771824e-4
profiling,1,1,1.5,0.7150369344,8.528636905106736e-4
profiling,1,1,1.6,0.7623878832,4.117553041179802e-4
profiling,1,2,0.5,0.47027004159999997,2.0877073220584977e-4
profiling,1,2,0.7,0.6586511408,5.414812052722463e-4
profiling,1,2,0.8,0.7661075904,0.0042685165256256515
profiling,1,2,1,0.9429873168,5.240021203091303e-4
profiling,1,2,1.1,1.0339972048,2.4370985788817464e-4
profiling,1,2,1.3,1.2221404784,4.2770155036660174e-4
profiling,1,2,1.4,1.3157313936,2.9887747003518126e-4
profiling,1,2,1.5,1.40925984,3.2280824206432584e-4
profiling,1,2,1.6,1.5044287616,7.998755193806078e-4
profiling,1,4,0.5,0.9107105008,6.642870456905368e-4
profiling,1,4,0.7,1.2803172928,0.0011435124223894214
profiling,1,4,1,1.8266706304,0.001260801357882051
profiling,1,8,0.5,2.0060282544,0.003354877025466389
profiling,1,8,0.7,2.820870936,0.006082779816175912
profiling,1,8,1,4.0614003136,0.01090601373716733
profiling,16,1,0.5,0.323437282,8.545800480566777e-5
profiling,16,1,0.7,0.411732426,1.5458596253185947e-4
profiling,16,1,0.8,0.455750682,2.9422017166315736e-4
profiling,16,1,1,0.541974874,1.7656411130565196e-4
profiling,16,1,1.1,0.5867431764,2.3550956667153943e-4
profiling,16,1,1.3,0.6745343736,3.0099374919963034e-4
profiling,16,1,1.4,0.7209521564,7.605506211793214e-4
profiling,16,1,1.5,0.7633071111999999,2.8242641879427965e-4
profiling,16,1,1.6,0.8092916024,3.2721455382391765e-4
profiling,16,2,0.5,0.5324080948,1.8681485169158156e-4
profiling,16,2,0.7,0.7097448072,0.0013018194939636673
profiling,16,2,0.8,0.7943157768,3.012652967916359e-4
profiling,16,2,1,0.9857459144,0.004567540742015596
profiling,16,2,1.1,1.06282258,3.544574338804909e-4
profiling,16,2,1.3,1.2435322518,3.900011386661087e-4
profiling,16,2,1.4,1.38309296945,0.01877497104118466
profiling,16,2,1.5,1.4233486198,2.7976416671508293e-4
profiling,16,2,1.6,1.5200397366,9.220208088848522e-4
profiling,16,4,0.5,0.9650481176,0.0012970869840485456
profiling,16,4,0.7,1.3131653110000001,0.0016084688818282533
profiling,16,4,1,1.8576132539999999,0.001496570257887165
profiling,16,8,0.5,2.0002059660000002,0.002467592901562918
profiling,16,8,0.7,2.7956031387999998,0.004111391778699681
profiling,16,8,1,3.9860556832,0.005734416794708695
profiling,2,1,0.5,0.2745461888,1.1314567636142725e-4
profiling,2,1,0.7,0.3615946684,1.2430992012166822e-4
profiling,2,1,0.8,0.4047017244,1.251018657180858e-4
profiling,2,1,1,0.4963524456,2.129194817202309e-4
profiling,2,1,1.1,0.54277042,3.294861991529731e-4
profiling,2,1,1.3,0.6348743634,4.067535075197497e-4
profiling,2,1,1.4,0.6780171616,2.9117023665727087e-4
profiling,2,1,1.5,0.7258985408,5.318214067487757e-4
profiling,2,1,1.6,0.7732510752,5.485263520079283e-4
profiling,2,2,0.5,0.4890623,1.5256696291286671e-4
profiling,2,2,0.7,0.6696172032000001,2.5295296218671293e-4
profiling,2,2,0.8,0.7619580224,4.705905838952377e-4
profiling,2,2,1,0.945141476,3.233879733273208e-4
profiling,2,2,1.1,1.0364695016,2.445386765810668e-4
profiling,2,2,1.3,1.2247707512000001,8.438141042353048e-4
profiling,2,2,1.4,1.3181282194,4.602436064333217e-4
