batch,seq_length,n_embed,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.030239795207977295,res_add
128,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.007563059210777283,res_add
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030238156986236574,res_add
16,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0018984960258007048,res_add
32,16384,1024,a100,108,54,7,6912,432,40,40,1555,0,0.0018984960317611692,res_add
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.030242355251312254,res_add
128,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.015128371238708494,res_add
32,1024,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0009568256109952926,res_add
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.03023487997055054,res_add
128,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.030236774349212646,res_add
64,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0037859839797019955,res_add
16,2048,16384,a100,108,54,7,6912,432,40,40,1555,0,0.0018995200335979467,res_add
4,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0009569792121648789,res_add
64,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0037864959836006163,res_add
128,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0075663359880447385,res_add
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.03023057928085327,res_add
128,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.015129292821884155,res_add
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.03023313932418823,res_add
4,2048,2048,a100,108,54,7,6912,432,40,40,1555,0,7.326720245182515e-05,res_add
16,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.00756725766658783,res_add
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007565414452552796,res_add
128,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.03023738880157471,res_add
32,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.007566387248039245,res_add
32,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.003784908771514893,res_add
128,512,16384,a100,108,54,7,6912,432,40,40,1555,0,0.0037855743765830992,res_add
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030238361740112303,res_add
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007565824007987975,res_add
16,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,0.015129497528076172,res_add
64,4096,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0018998784244060516,res_add
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030238566398620603,res_add
64,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0037859327793121345,res_add
