batch,seq_length,n_embed,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
8,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.021138841629028324,rms_norm
128,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08673981437683106,rms_norm
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,512,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0027089919686317443,rms_norm
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.04332677116394043,rms_norm
64,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.021213030338287354,rms_norm
128,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.08443007926940918,rms_norm
32,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.08484961242675783,rms_norm
16,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.005266432070732117,rms_norm
128,2048,16384,a100,108,54,7,6912,432,40,40,1555,0,0.08483839988708494,rms_norm
64,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.08432547798156738,rms_norm
32,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.021184511947631834,rms_norm
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.04208225288391113,rms_norm
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
16,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.010575769615173338,rms_norm
8,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.021009868717193604,rms_norm
128,4096,1024,a100,108,54,7,6912,432,40,40,1555,0,0.010600396728515624,rms_norm
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.04210815982818604,rms_norm
32,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.04208855075836182,rms_norm
64,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.08484925613403319,rms_norm
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
16,1024,8192,a100,108,54,7,6912,432,40,40,1555,0,0.002669414401054382,rms_norm
32,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08680949783325195,rms_norm
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.042086451339721685,rms_norm
