batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
16,1024,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.004591072010993957,attn
64,16384,4096,64,4,h100,114,57,8,14592,456,80,50,2000,0,1.2297599426269532,attn
128,4096,16384,32,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
32,8192,4096,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.28746538391113285,attn
64,8192,8192,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.4153532257080078,attn
128,8192,8192,16,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,4096,2048,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.13597347259521483,attn
16,16384,16384,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.7479207336425782,attn
32,4096,1024,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.011974662399291992,attn
64,8192,16384,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.8949555847167969,attn
128,256,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.01725523529052734,attn
64,16384,16384,64,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
32,4096,16384,64,1,h100,114,57,8,14592,456,80,50,2000,0,1.487347344970703,attn
128,16384,4096,64,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,8192,8192,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.41567102050781257,attn
2,8192,8192,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.023162798404693603,attn
8,8192,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.24205179290771484,attn
64,8192,2048,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.5495414184570312,attn
128,4096,8192,128,2,h100,114,57,8,14592,456,80,50,2000,0,1.1502513183593748,attn
32,16384,8192,16,8,h100,114,57,8,14592,456,80,50,2000,0,0.7778688537597656,attn
64,1024,2048,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.0034303311824798585,attn
128,16384,16384,128,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,4096,8192,64,1,h100,114,57,8,14592,456,80,50,2000,0,1.01529167175293,attn
32,8192,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.1725459564208984,attn
32,2048,4096,128,2,h100,114,57,8,14592,456,80,50,2000,0,0.05463953418731691,attn
64,16384,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,8192,4096,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.36056958465576167,attn
64,8192,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
32,4096,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.1254939651489258,attn
128,8192,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.6628665954589844,attn
64,2048,16384,8,4,h100,114,57,8,14592,456,80,50,2000,0,0.3259802932739258,attn
8,16384,2048,128,1,h100,114,57,8,14592,456,80,50,2000,0,0.97193251953125,attn
8,8192,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.042522051429748534,attn
64,8192,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.6786370056152343,attn
128,2048,1024,128,2,h100,114,57,8,14592,456,80,50,2000,0,0.13056259613037108,attn
32,16384,16384,32,8,h100,114,57,8,14592,456,80,50,2000,0,1.7537096191406252,attn
64,2048,8192,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.10126066131591797,attn
128,16384,8192,128,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,8192,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
16,8192,4096,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.045723915100097656,attn
32,512,16384,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.028944367980957036,attn
64,16384,4096,8,8,h100,114,57,8,14592,456,80,50,2000,0,0.6776096771240234,attn
128,4096,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.4990896621704103,attn
64,8192,4096,32,1,h100,114,57,8,14592,456,80,50,2000,0,1.1405698913574218,attn
32,8192,2048,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.27446334533691413,attn
128,8192,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,4096,8192,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.12209099197387696,attn
8,16384,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.3484138519287109,attn
4,4096,4096,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.005772422432899475,attn
64,16384,16384,64,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,8192,4096,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.6296105316162108,attn
32,8192,8192,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.20762669601440428,attn
64,4096,16384,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.335966764831543,attn
128,8192,2048,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.6643314544677735,attn
64,1024,8192,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.08520893630981448,attn
32,16384,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,1.0588361450195314,attn
16,8192,8192,32,1,h100,114,57,8,14592,456,80,50,2000,0,0.7641069946289063,attn
64,8192,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.8299659118652343,attn
128,2048,16384,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.29285622253417964,attn
64,16384,2048,64,4,h100,114,57,8,14592,456,80,50,2000,0,1.0271583679199219,attn
32,2048,4096,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.01926499032974243,attn
128,16384,8192,32,8,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,4096,4096,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.1676611381530762,attn
16,8192,16384,16,2,h100,114,57,8,14592,456,80,50,2000,0,1.1549218078613284,attn
16,8192,4096,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.1447100212097168,attn
64,8192,16384,32,8,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,2048,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.09522357749938963,attn
32,16384,8192,64,2,h100,114,57,8,14592,456,80,50,2000,0,2.1285029541015623,attn
64,2048,16384,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.6347915771484376,attn
128,16384,1024,64,4,h100,114,57,8,14592,456,80,50,2000,0,1.925697088623047,attn
64,8192,16384,16,8,h100,114,57,8,14592,456,80,50,2000,0,,attn
16,8192,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.21189151916503907,attn
32,4096,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.05984943675994873,attn
64,16384,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,8192,16384,128,1,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,8192,2048,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.1291536277770996,attn
32,4096,4096,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.04690593318939209,attn
128,8192,8192,128,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,512,4096,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.00635042085647583,attn
4,16384,16384,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.17917004089355465,attn
8,1024,8192,8,2,h100,114,57,8,14592,456,80,50,2000,0,0.009820720100402833,attn
64,16384,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,4096,2048,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.05020888004302978,attn
32,16384,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,8192,8192,64,2,h100,114,57,8,14592,456,80,50,2000,0,1.363224786376953,attn
128,8192,4096,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.35957677001953126,attn
64,4096,16384,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.6995679931640627,attn
32,16384,4096,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.946920635986328,attn
16,4096,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.1802877754211426,attn
