batch,seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
64,8192,4096,8,4,h100,114,57,8,14592,456,80,50,2000,0,0.099466854095459,mlp
64,4096,16384,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.4592936676025389,mlp
128,16384,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
2,4096,16384,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.0540614429473877,mlp
32,16384,8192,64,1,h100,114,57,8,14592,456,80,50,2000,0,,mlp
128,512,1024,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.0009083840012550356,mlp
64,8192,16384,128,8,h100,114,57,8,14592,456,80,50,2000,0,,mlp
32,8192,4096,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.050291667175292966,mlp
32,16384,16384,64,8,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,2048,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.10399630928039552,mlp
128,8192,8192,32,2,h100,114,57,8,14592,456,80,50,2000,0,,mlp
16,4096,2048,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.0034354928016662603,mlp
16,8192,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.10469910812377929,mlp
128,8192,16384,16,2,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,16384,2048,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.05387469940185548,mlp
64,1024,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.023555921649932865,mlp
64,16384,4096,128,2,h100,114,57,8,14592,456,80,50,2000,0,0.429494677734375,mlp
64,2048,16384,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.22469369277954102,mlp
128,8192,2048,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.030021273422241212,mlp
8,8192,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.0500815341949463,mlp
16,8192,16384,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.5060092102050782,mlp
128,4096,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.2127471923828125,mlp
64,16384,8192,16,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
32,2048,4096,128,1,h100,114,57,8,14592,456,80,50,2000,0,0.05533490104675294,mlp
64,8192,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.4522187088012696,mlp
64,8192,4096,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.21488658523559573,mlp
128,16384,16384,128,2,h100,114,57,8,14592,456,80,50,2000,0,,mlp
32,1024,8192,16,8,h100,114,57,8,14592,456,80,50,2000,0,0.011922436809539794,mlp
4,16384,2048,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.0016170160114765166,mlp
128,4096,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.46256367645263674,mlp
64,8192,4096,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.21444609298706058,mlp
64,4096,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,1.0290418182373047,mlp
64,16384,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,4096,2048,16,8,h100,114,57,8,14592,456,80,50,2000,0,0.006890644764900207,mlp
128,8192,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
8,4096,8192,32,1,h100,114,57,8,14592,456,80,50,2000,0,0.11292356834411624,mlp
32,8192,4096,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.10407366981506347,mlp
128,8192,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,16384,8192,32,8,h100,114,57,8,14592,456,80,50,2000,0,,mlp
32,512,16384,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.04999880867004395,mlp
32,8192,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.10261390228271486,mlp
64,4096,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,1.0067609130859376,mlp
128,16384,4096,128,2,h100,114,57,8,14592,456,80,50,2000,0,,mlp
16,2048,16384,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.11184434356689454,mlp
8,16384,16384,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.5041962722778319,mlp
128,1024,4096,128,2,h100,114,57,8,14592,456,80,50,2000,0,0.054375110626220705,mlp
64,8192,8192,32,2,h100,114,57,8,14592,456,80,50,2000,0,1.0807660217285155,mlp
64,8192,1024,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.0060598623991012564,mlp
64,8192,16384,32,1,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,8192,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.4560984756469727,mlp
128,16384,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,,mlp
16,2048,4096,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.005781870388984681,mlp
16,16384,4096,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.04861402893066406,mlp
128,2048,16384,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.46999427947998046,mlp
64,8192,2048,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.015530120086669921,mlp
32,4096,8192,8,2,h100,114,57,8,14592,456,80,50,2000,0,0.2240057960510254,mlp
32,16384,2048,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.028883427143096923,mlp
64,1024,8192,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.11975597915649414,mlp
128,8192,8192,16,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
32,8192,16384,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.47162380523681646,mlp
4,8192,8192,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.011563035106658938,mlp
128,4096,4096,16,2,h100,114,57,8,14592,456,80,50,2000,0,0.21493317260742187,mlp
64,16384,16384,64,2,h100,114,57,8,14592,456,80,50,2000,0,,mlp
