batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel,seq_length
32,512,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.01385021438598633,attn,NA
64,16384,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,4096,16384,16,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,8192,4096,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.18178344955444337,attn,NA
64,8192,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.5431689727783202,attn,NA
128,8192,8192,32,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,2048,1024,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.02203755521774291,attn,NA
8,16384,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,1.0255603637695314,attn,NA
4,4096,2048,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.00422215678691864,attn,NA
64,8192,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,1024,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.02203965425491333,attn,NA
64,16384,8192,64,1,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,4096,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,1.115101593017578,attn,NA
128,16384,2048,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.7470497772216798,attn,NA
64,8192,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,1.0952495971679688,attn,NA
16,8192,8192,16,4,a100,108,54,7,6912,432,40,40,1555,0,0.2683877899169922,attn,NA
16,8192,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.3353704956054687,attn,NA
64,8192,2048,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.692048080444336,attn,NA
128,4096,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.7661028350830079,attn,NA
32,16384,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.6032326141357423,attn,NA
64,2048,4096,8,8,a100,108,54,7,6912,432,40,40,1555,0,0.02594647035598755,attn,NA
128,16384,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,4096,8192,32,2,a100,108,54,7,6912,432,40,40,1555,0,0.7374447601318359,attn,NA
2,8192,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.04093163566589355,attn,NA
16,4096,8192,128,1,a100,108,54,7,6912,432,40,40,1555,0,0.377478092956543,attn,NA
64,16384,8192,16,8,a100,108,54,7,6912,432,40,40,1555,0,1.993548046875,attn,NA
128,8192,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.9244733947753906,attn,NA
64,8192,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,4096,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.33196241912841795,attn,NA
128,8192,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,1.4704314331054689,attn,NA
64,1024,16384,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.1314641929626465,attn,NA
32,16384,2048,128,2,a100,108,54,7,6912,432,40,40,1555,0,2.456327600097656,attn,NA
32,4096,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.07491768302917481,attn,NA
64,8192,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,1.0105072570800782,attn,NA
128,256,2048,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.00837898254394531,attn,NA
32,16384,16384,8,8,a100,108,54,7,6912,432,40,40,1555,0,2.8300728637695314,attn,NA
64,2048,8192,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.07084288024902344,attn,NA
128,16384,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,8192,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
16,8192,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.11673072624206544,attn,NA
4,2048,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.0269071870803833,attn,NA
64,16384,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,1.2092785583496093,attn,NA
128,4096,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.3430238204956054,attn,NA
64,8192,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,1.882742260742187,attn,NA
32,8192,1024,64,1,a100,108,54,7,6912,432,40,40,1555,0,0.6251456512451172,attn,NA
128,8192,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,4096,8192,16,4,a100,108,54,7,6912,432,40,40,1555,0,0.3634889221191407,attn,NA
16,16384,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.8734496795654296,attn,NA
16,4096,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.01892126722335815,attn,NA
64,16384,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,8192,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,8192,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.2801185272216796,attn,NA
64,8192,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,8192,2048,16,4,a100,108,54,7,6912,432,40,40,1555,0,0.32946247558593755,attn,NA
64,2048,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.2724757553100586,attn,NA
8,16384,4096,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.07800883178710938,attn,NA
8,8192,8192,16,2,a100,108,54,7,6912,432,40,40,1555,0,0.273474203491211,attn,NA
64,8192,4096,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.370947428894043,attn,NA
128,2048,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.9234769439697268,attn,NA
64,16384,2048,64,2,a100,108,54,7,6912,432,40,40,1555,0,2.588069262695313,attn,NA
32,1024,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.03062292499542236,attn,NA
128,16384,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,4096,4096,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.11121807327270508,attn,NA
