type,gpus,ubatch,coef,total_time_ms,total_time_ms_ci,ref_time,ratio_time_ms,abs_diff_ratio
model,1,1,0.6,0.9610044608,0.012290625514935,0.8688737869262695,1.1060345878308198,0.10603458783081976
model,1,2,0.8,1.5570290272,0.01458602849908133,1.5539122819900513,1.002005740765468,0.0020057407654678894
model,1,4,1,2.8935042624,0.02776997613871879,2.9288176536560058,0.987942782572372,0.012057217427627998
model,1,8,1,5.4745090912,0.04886979385204317,5.643936741352081,0.9699805901595749,0.03001940984042506
model,128,1,1.2,1.8504318704,0.0113478605199586,1.8245562672615052,1.0141818608736752,0.014181860873675234
model,128,2,1.2,2.3483739326,0.01499780155386966,2.2866021037101745,1.0270146820864008,0.027014682086400787
model,16,1,0.9,1.3804224276,0.00947252404616584,1.3577665448188785,1.0166861400935046,0.016686140093504553
model,16,2,1,1.89241279885,0.01081631801379559,1.8259960412979128,1.0363728924104776,0.036372892410477586
model,2,1,0.7,1.0508887032,0.01031659402446665,1.0518826127052308,0.9990551136664627,9.44886333537287e-4
model,2,2,0.9,1.8002777288,0.01996857936479181,1.8002147793769836,1.0000349677292608,3.496772926081526e-5
model,2,4,1.2,3.410043296,0.04447804735252783,3.369495177268982,1.0120338853738569,0.012033885373856856
model,2,8,1.2,6.7169723712,0.03280136793478967,6.435111939907074,1.0438003928952626,0.04380039289526261
model,32,1,1,1.574860216,0.00713183646998616,1.612074041366577,0.9769155606928387,0.02308443930716131
model,32,2,1.1,2.1161120222,0.01552164571447117,2.0765108942985533,1.0190709945274927,0.019070994527492724
model,4,1,0.6,0.96255277400000006,0.00884199993166158,1.002911341190338,0.9597585892862303,0.04024141071376974
model,4,2,0.9,1.7708265109,0.01400555244285337,1.735420048236847,1.0204022436522648,0.02040224365226484
model,4,4,1.2,3.3029739936,0.03043509069927897,3.274771535396576,1.0086120383967516,0.00861203839675162
model,4,8,1.1,6.5032966592,0.0563668829289501,6.282730352878571,1.035106759948781,0.0351067599487811
model,64,1,1.1,1.7633084656,0.00822197597876945,1.7365200519561768,1.015426492549652,0.015426492549651893
model,64,2,1.2,2.2270311208,0.01676606915166337,2.206841731071472,1.0091485444761485,0.009148544476148546
model,8,1,0.6,0.9755666486,0.00688745364413578,1.0357391119003296,0.9419038417986091,0.05809615820139091
model,8,2,0.9,1.7104425394,0.01213524751080676,1.7516148686408997,0.9764946450398393,0.023505354960160707
model,8,4,1.2,3.4385120683,0.03736225162416758,3.339084041118622,1.0297770364438232,0.029777036443823235
model,8,8,1.1,6.4315465408,0.03619411063934118,6.1670799374580385,1.0428836022921686,0.04288360229216859
profiling,1,1,1.1,0.8468475168,1.2634844143395076e-4,0.8688737869262695,0.9746496321356527,0.0253503678643473
profiling,1,2,1.1,1.6136679872,0.0020766270988205,1.5539122819900513,1.0384550054095854,0.03845500540958535
profiling,1,4,0.9,2.8146255232,0.00164579702499782,2.9288176536560058,0.961010843295942,0.038989156704058
profiling,1,8,0.9,5.5971761568,0.00621534860979181,5.643936741352081,0.9917148992458623,0.008285100754137686
profiling,128,1,2.1,1.6386531568,1.367598054690326e-4,1.8245562672615052,0.8981105084029395,0.10188949159706051
profiling,128,2,1.5,2.2286367072,0.00222593999321225,2.2866021037101745,0.9746499854888958,0.02535001451110419
profiling,16,1,1.6,1.2544112136,1.2468965471024165e-4,1.3577665448188785,0.9238784225364268,0.07612157746357318
profiling,16,2,1.2,1.7850238902,0.00179360265001399,1.8259960412979128,0.9775617525058872,0.02243824749411283
profiling,2,1,1.4,1.0819079768,1.4690949245355786e-4,1.0518826127052308,1.0285444057465214,0.028544405746521395
profiling,2,2,1.2,1.7608789172,0.00220932061164724,1.8002147793769836,0.978149350495502,0.021850649504498
profiling,2,4,1.1,3.4215924192,0.00348766950788095,3.369495177268982,1.0154614383431892,0.015461438343189249
profiling,2,8,1.0,6.1762538528,0.00462049948059425,6.435111939907074,0.9597741127855483,0.04022588721445175
