type,gpus,ubatch,coef,total_time_ms,total_time_ms_ci,ref_time,ratio_time_ms,abs_diff_ratio
model,1,1,0.3,0.2814964192,0.00188065566049229,0.30617097616195676,0.9194092226792113,0.08059077732078868
model,1,2,0.5,0.5641906703999999,0.00476427197560527,0.5476656079292297,1.030173635575279,0.03017363557527908
model,16,1,0.8,0.79153221520000006,0.00630048395836585,0.8167404770851135,0.9691355300828485,0.030864469917151527
model,16,2,0.8,0.9386135627,0.00957780650116668,0.9927404165267943,0.9454773343305969,0.054522665669403114
model,2,1,0.4,0.3926414255,0.00341180077870658,0.42992382049560546,0.9132813926136326,0.08671860738636739
model,2,2,0.7,0.8088334837,0.00690214101102803,0.7138888597488403,1.1329963658272564,0.13299636582725638
model,32,1,1.1,1.031937104,0.00902412636022822,1.0822197079658509,0.9535375269959162,0.04646247300408379
model,32,2,1.1,1.2310117014,0.01005633211439377,1.2414350032806396,0.9916038279466143,0.00839617205338572
model,4,1,0.4,0.410901717,0.00210631732735464,0.43029974699020385,0.9549197271764943,0.045080272823505685
model,4,2,0.7,0.7974327864,0.0078142291632699,0.7128999352455139,1.118576039883317,0.11857603988331711
model,8,1,0.4,0.4472380024,0.00293284383879015,0.42860305309295654,1.0434783400924628,0.043478340092462764
model,8,2,0.7,0.8073366996,0.00636184316655594,0.7119557380676269,1.133970352976231,0.13397035297623106
profiling,1,1,0.7,0.3335378352,2.1472979645770015e-4,0.30617097616195676,1.0893842368114177,0.08938423681141772
profiling,1,2,0.5,0.4702700416,2.0877073220584977e-4,0.5476656079292297,0.8586809812252609,0.14131901877473907
profiling,16,1,1.6,0.8092916024,3.2721455382391765e-4,0.8167404770851135,0.990879753245856,0.009120246754144024
profiling,16,2,1,0.9857459144,0.00456754074201559,0.9927404165267943,0.9929543493844389,0.007045650615561061
profiling,2,1,0.8,0.4047017244,1.251018657180858e-4,0.42992382049560546,0.941333569127363,0.05866643087263701
profiling,2,2,0.7,0.6696172032000001,2.5295296218671293e-4,0.7138888597488403,0.9379852256492476,0.06201477435075242
profiling,32,1,1.6,0.8460143312,0.01216415619658582,1.0822197079658509,0.7817399045432055,0.21826009545679448
profiling,32,2,1.3,1.2458362835,4.192692394916382e-4,1.2414350032806396,1.003545316676048,0.0035453166760479604
profiling,4,1,0.8,0.4326590352,1.320486777098245e-4,0.43029974699020385,1.0054828947176906,0.0054828947176905896
profiling,4,2,0.7,0.6872039548,2.2511700797571204e-4,0.7128999352455139,0.9639556981630746,0.03604430183692542
profiling,8,1,0.8,0.4473471832,1.675625487155643e-4,0.42860305309295654,1.0437330764953234,0.04373307649532343
profiling,8,2,0.7,0.7007918382,2.461458134159248e-4,0.7119557380676269,0.984319390559408,0.01568060944059202
roofline,1,1,no,0.101972672,0,0.30617097616195676,0.33305793148093504,0.666942068519065
roofline,1,2,no,0.193204544,0,0.5476656079292297,0.35277830340766303,0.647221696592337
roofline,16,1,no,0.258254456,0,0.8167404770851135,0.3162013678098716,0.6837986321901284
roofline,16,2,no,0.309163064,0,0.9927404165267943,0.31142387159136636,0.6885761284086336
roofline,2,1,no,0.16160924,0,0.42992382049560546,0.37590203728116506,0.624097962718835
roofline,2,2,no,0.243116568,0,0.7138888597488403,0.34055240487368443,0.6594475951263156
roofline,32,1,no,0.27675836800000003,0,1.0822197079658509,0.25573214566587166,0.7442678543341283
roofline,32,2,no,0.324278768,0,1.2414350032806396,0.26121284412237034,0.7387871558776297
roofline,4,1,no,0.2052968,0,0.43029974699020385,0.47710183758177704,0.522898162418223
roofline,4,2,no,0.27013485600000003,0,0.7128999352455139,0.3789239452055343,0.6210760547944657
roofline,8,1,no,0.239030256,0,0.42860305309295654,0.5576961112970852,0.4423038887029148
roofline,8,2,no,0.293643072,0,0.7119557380676269,0.41244568489187117,0.5875543151081288
real,16,1,NA,0.8167404770851135,5.375075679195356e-4,0.8167404770851135,1,0
real,16,2,NA,0.9927404165267943,0.00357840089581879,0.9927404165267943,1,0
real,1,1,NA,0.30617097616195676,8.856019046561845e-5,0.30617097616195676,1,0
real,1,2,NA,0.5476656079292297,2.6149470720681543e-4,0.5476656079292297,1,0
real,2,1,NA,0.42992382049560546,1.4970280607590225e-4,0.42992382049560546,1,0
real,2,2,NA,0.7138888597488403,1.74968434838153e-4,0.7138888597488403,1,0
real,32,1,NA,1.0822197079658509,2.0612363653591903e-4,1.0822197079658509,1,0
real,32,2,NA,1.2414350032806396,2.6024777751091456e-4,1.2414350032806396,1,0
real,4,1,NA,0.43029974699020385,1.6055110175803455e-4,0.43029974699020385,1,0
real,4,2,NA,0.7128999352455139,2.647046748647202e-4,0.7128999352455139,1,0
real,8,1,NA,0.42860305309295654,1.5493082482236767e-4,0.42860305309295654,1,0
real,8,2,NA,0.7119557380676269,3.472728852061802e-4,0.7119557380676269,1,0
